155,The TechnoNuts
173,RAGE Robotics ⚙️
175,Buzz Robotics
178,The 2nd Law Enforcers
181,Birds Of Prey
195,CyberKnights
228,GUS
236,Techno-Ticks
558,Elm City Robo Squad
571,Team Paragon Robotics
1027,Mechatronic Maniacs
1099,DiscoTechs
1350,The Rambots
1991,The Dragons
2168,Aluminum Falcons
2170,Galvanized Guardians
3146,GRANBY GRUNTS
3461,Operation PEACCE Robotics
3464,Sim-City
3634,Spark City
3654,TechTigers
4048,Redshift
4987,MegaRams
5142,RoboDominators
5746,Human Error
5856,Bullbots
6333,Scavenger Robotics
6346,Cybears Robotics Team
7127,LongMetal Robotics
7153,Aetos Dios (Eagles of Zeus)
7407,Wired Boars
7694,THE IRON LIONS
7760,Griffin Innovations
7869,The Fun Gang
8889,Project W
9193,Short-Circuited Eagles
9710,Discovery PolyBotz
10133,Manhattan Monsters
10245,WAMS
10266,Hopkins Galvanized Goats
